,cntry,idno,netustm,lvpntyr,ppltrst,vote,prtvtdfi,gndr,yrbrn,edlvdfi,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
550,FI,21601,160.0,1962.0,8,1.0,11.0,2,1947,5.0,17.0,40.0,43.0,,,53.0
551,FI,21623,120.0,1976.0,8,1.0,2.0,2,1957,12.0,17.0,40.0,40.0,3900.0,,45.0
552,FI,21686,180.0,2011.0,5,1.0,4.0,1,1990,10.0,17.0,38.0,45.0,4100.0,4100.0,43.0
553,FI,21795,600.0,1983.0,4,1.0,10.0,2,1963,7.0,16.0,38.0,38.0,2300.0,3000.0,40.0
554,FI,21799,45.0,1957.0,8,1.0,1.0,1,1939,8.0,9.0,60.0,60.0,,,76.0
555,FI,21841,,1967.0,8,2.0,,2,1949,3.0,10.0,,3.0,,,48.0
556,FI,21850,,1964.0,8,1.0,11.0,1,1943,2.0,9.0,40.0,40.0,,,86.0
557,FI,21880,180.0,1980.0,8,1.0,11.0,1,1959,12.0,18.0,38.0,50.0,7400.0,9800.0,
558,FI,21906,180.0,1958.0,5,1.0,1.0,2,1947,8.0,20.0,40.0,40.0,,,64.0
559,FI,21919,720.0,1986.0,7,1.0,10.0,2,1966,14.0,30.0,40.0,50.0,,,49.0
560,FI,21970,60.0,1968.0,5,1.0,,1,1953,1.0,10.0,38.0,40.0,,,59.0
561,FI,21990,90.0,1981.0,7,1.0,2.0,1,1959,3.0,10.0,39.0,39.0,3000.0,,83.0
562,FI,21995,300.0,1985.0,8,1.0,11.0,2,1967,6.0,15.0,37.0,45.0,3600.0,,47.0
563,FI,22059,30.0,1962.0,8,1.0,1.0,1,1941,12.0,18.0,38.0,50.0,,,61.0
564,FI,22083,540.0,1986.0,5,1.0,2.0,2,1967,9.0,18.0,41.0,38.0,3500.0,3700.0,62.0
565,FI,22103,180.0,2005.0,8,1.0,,2,1986,9.0,18.0,38.0,38.0,2599.0,,50.0
566,FI,22114,45.0,1973.0,5,1.0,12.0,2,1957,5.0,10.0,20.0,20.0,,,
567,FI,22143,180.0,1981.0,7,1.0,10.0,1,1964,5.0,14.0,39.0,39.0,54000.0,,58.0
568,FI,22151,480.0,1997.0,8,1.0,11.0,1,1978,10.0,19.0,60.0,60.0,4000.0,4800.0,104.0
569,FI,22176,80.0,1989.0,7,1.0,3.0,1,1969,11.0,22.0,40.0,40.0,45000.0,,50.0
570,FI,22196,,1960.0,8,1.0,3.0,1,1941,5.0,9.0,40.0,50.0,,,43.0
571,FI,22254,60.0,1984.0,8,1.0,11.0,1,1964,7.0,11.0,40.0,40.0,45000.0,,42.0
572,FI,22371,120.0,1957.0,8,1.0,1.0,1,1937,10.0,13.0,40.0,40.0,,,106.0
573,FI,22387,60.0,1959.0,7,1.0,3.0,2,1935,,16.0,,,,,124.0
574,FI,22391,120.0,2016.0,4,3.0,,2,1997,4.0,14.0,8.0,8.0,600.0,,49.0
575,FI,22452,,1950.0,7,1.0,11.0,1,1931,5.0,6.0,40.0,40.0,,,68.0
576,FI,22579,60.0,1955.0,8,1.0,2.0,2,1936,5.0,11.0,20.0,28.0,,,46.0
577,FI,22637,420.0,1988.0,7,1.0,,1,1971,9.0,19.0,38.0,38.0,1670.0,2500.0,44.0
578,FI,22662,360.0,1973.0,8,1.0,,2,1956,12.0,15.0,37.0,37.0,4500.0,,45.0
579,FI,22696,120.0,1996.0,8,1.0,,2,1978,5.0,13.0,30.0,30.0,1799.0,2400.0,52.0
580,FI,22704,180.0,1993.0,8,1.0,11.0,2,1974,11.0,19.0,38.0,38.0,4000.0,,48.0
581,FI,22727,180.0,0.0,9,3.0,,1,2001,3.0,10.0,5.0,5.0,0.0,,43.0
582,FI,22731,840.0,1984.0,6,1.0,10.0,2,1969,3.0,12.0,37.0,55.0,3200.0,3500.0,60.0
583,FI,22749,,1969.0,5,1.0,3.0,2,1946,4.0,10.0,15.0,15.0,,,50.0
584,FI,22762,,1968.0,5,2.0,,1,1948,8.0,10.0,,20.0,,,85.0
585,FI,22851,,1962.0,4,1.0,1.0,2,1947,7.0,10.0,168.0,,,,76.0
586,FI,22854,,,10,2.0,,1,1965,,,,,,,51.0
587,FI,22868,120.0,2005.0,8,1.0,1.0,2,1983,9.0,16.0,38.0,40.0,4500.0,4500.0,37.0
588,FI,22883,15.0,1999.0,4,1.0,,1,1981,5.0,17.0,38.0,38.0,,,59.0
589,FI,22927,60.0,2018.0,7,3.0,,2,1998,4.0,13.0,25.0,29.0,,,33.0
590,FI,22932,180.0,1986.0,1,1.0,4.0,1,1968,5.0,18.0,40.0,40.0,,,107.0
591,FI,22945,480.0,0.0,8,3.0,,1,2000,3.0,11.0,38.0,38.0,,,66.0
592,FI,23042,60.0,1976.0,3,2.0,,1,1960,3.0,9.0,30.0,32.0,,,41.0
593,FI,23049,6.0,1994.0,8,1.0,10.0,2,1976,12.0,18.0,33.0,40.0,4000.0,5000.0,44.0
594,FI,23058,360.0,1977.0,7,1.0,4.0,1,1960,7.0,9.0,40.0,40.0,,,86.0
595,FI,23078,300.0,2014.0,6,3.0,,2,1998,6.0,13.0,,15.0,,,46.0
596,FI,23079,420.0,1995.0,8,1.0,1.0,2,1976,10.0,17.0,38.0,45.0,3650.0,,53.0
597,FI,23102,300.0,2001.0,8,1.0,1.0,2,1983,9.0,18.0,38.0,47.0,5500.0,,54.0
598,FI,23205,480.0,0.0,9,3.0,,2,2000,3.0,12.0,7.0,7.0,,,46.0
599,FI,23214,90.0,1968.0,7,1.0,1.0,1,1950,7.0,15.0,60.0,60.0,,,67.0
600,FI,23247,120.0,1983.0,5,1.0,,2,1965,3.0,13.0,50.0,60.0,,,56.0
601,FI,23261,120.0,1967.0,8,1.0,3.0,1,1950,12.0,14.0,35.0,35.0,7500.0,,45.0
602,FI,23271,600.0,1976.0,7,2.0,,2,1958,5.0,14.0,38.0,38.0,2500.0,3000.0,54.0
603,FI,23352,240.0,1977.0,10,1.0,1.0,1,1952,8.0,40.0,36.0,40.0,,,79.0
