,cntry,idno,netustm,lvpntyr,ppltrst,vote,prtvtdfi,gndr,yrbrn,edlvdfi,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
737,FI,28487,120.0,1977.0,8,1.0,,1,1956,5.0,11.0,38.0,38.0,2800.0,,47.0
738,FI,28501,10.0,1958.0,6,1.0,1.0,1,1938,12.0,12.0,,45.0,,,84.0
739,FI,28521,60.0,1994.0,3,2.0,,1,1976,5.0,15.0,40.0,50.0,3400.0,,62.0
740,FI,28527,180.0,2017.0,8,2.0,,1,1997,4.0,13.0,35.0,35.0,,,39.0
741,FI,28530,30.0,1981.0,6,1.0,10.0,2,1962,12.0,23.0,40.0,45.0,4600.0,,46.0
742,FI,28541,150.0,2018.0,7,3.0,,1,1997,4.0,14.0,40.0,40.0,,,36.0
743,FI,28607,,1954.0,9,1.0,11.0,1,1936,5.0,11.0,40.0,40.0,,,94.0
744,FI,28630,60.0,1978.0,9,1.0,11.0,1,1954,9.0,18.0,38.0,40.0,,,73.0
745,FI,28641,60.0,2000.0,8,1.0,4.0,1,1978,5.0,14.0,38.0,38.0,3500.0,4000.0,55.0
746,FI,28646,,1966.0,7,1.0,3.0,1,1939,1.0,6.0,50.0,50.0,,,75.0
747,FI,28672,90.0,1965.0,7,1.0,11.0,2,1950,2.0,8.0,40.0,40.0,,,50.0
748,FI,28695,180.0,2010.0,8,1.0,10.0,2,1991,12.0,18.0,38.0,39.0,3500.0,,52.0
749,FI,28759,90.0,1979.0,3,1.0,4.0,2,1960,5.0,14.0,38.0,38.0,2450.0,3300.0,45.0
750,FI,28769,60.0,1973.0,6,1.0,5.0,1,1955,8.0,15.0,40.0,40.0,2500.0,4500.0,78.0
751,FI,28960,60.0,1971.0,8,1.0,2.0,2,1953,8.0,14.0,,14.0,,,71.0
752,FI,28980,120.0,1990.0,8,1.0,1.0,1,1967,4.0,16.0,38.0,38.0,4800.0,6000.0,47.0
753,FI,28996,60.0,1976.0,9,1.0,3.0,2,1945,3.0,8.0,40.0,44.0,,,52.0
754,FI,28997,120.0,,4,3.0,,2,1966,5.0,15.0,38.0,38.0,1800.0,,106.0
755,FI,29013,60.0,2000.0,7,1.0,4.0,1,1981,14.0,21.0,,45.0,4800.0,5500.0,45.0
756,FI,29046,240.0,2014.0,2,3.0,,2,1997,5.0,13.0,38.0,40.0,,,40.0
757,FI,29098,120.0,1972.0,7,2.0,,2,1932,2.0,6.0,50.0,50.0,,,62.0
758,FI,29100,90.0,1982.0,3,1.0,1.0,1,1962,8.0,14.0,60.0,60.0,,,77.0
759,FI,29132,45.0,1987.0,7,1.0,11.0,1,1965,5.0,12.0,40.0,40.0,3000.0,,51.0
760,FI,29239,240.0,2007.0,6,1.0,3.0,1,1988,5.0,15.0,48.0,48.0,1800.0,,77.0
761,FI,29252,240.0,1975.0,8,1.0,11.0,1,1955,12.0,16.0,37.0,42.0,7100.0,,52.0
762,FI,29278,120.0,1961.0,3,1.0,3.0,2,1941,3.0,10.0,,,,,67.0
763,FI,29353,300.0,1985.0,9,1.0,4.0,2,1974,6.0,16.0,45.0,45.0,2800.0,3000.0,80.0
764,FI,29410,,2010.0,7,2.0,,2,1991,4.0,13.0,21.0,21.0,,,50.0
765,FI,29438,,1960.0,8,2.0,,2,1938,1.0,,,,,,52.0
766,FI,29454,60.0,1974.0,8,1.0,,2,1954,2.0,8.0,61.0,61.0,,,50.0
767,FI,29521,600.0,2007.0,9,1.0,5.0,1,1988,12.0,23.0,38.0,38.0,3938.0,3800.0,54.0
768,FI,29545,300.0,1967.0,8,1.0,10.0,2,1948,13.0,20.0,36.0,42.0,,,53.0
769,FI,29666,240.0,2000.0,4,2.0,,1,1979,5.0,16.0,60.0,60.0,60000.0,,42.0
770,FI,29726,600.0,1980.0,7,1.0,11.0,2,1960,5.0,15.0,38.0,38.0,2380.0,3500.0,81.0
771,FI,29735,60.0,1984.0,7,1.0,3.0,2,1965,5.0,12.0,37.0,37.0,2000.0,2800.0,72.0
772,FI,29844,,0.0,8,1.0,1.0,1,1947,5.0,7.0,2.0,2.0,,,60.0
773,FI,29886,90.0,2000.0,8,1.0,10.0,1,1980,4.0,18.0,38.0,41.0,2000.0,2200.0,59.0
774,FI,29899,60.0,1991.0,9,2.0,,2,1972,9.0,20.0,37.0,37.0,2300.0,2500.0,80.0
775,FI,30029,30.0,1988.0,7,1.0,3.0,2,1968,8.0,15.0,38.0,40.0,2300.0,2700.0,53.0
776,FI,30044,600.0,2006.0,7,1.0,10.0,1,1985,10.0,16.0,40.0,50.0,4400.0,,45.0
777,FI,30128,300.0,1982.0,8,1.0,3.0,2,1964,5.0,15.0,38.0,38.0,2100.0,,63.0
778,FI,30137,480.0,1970.0,7,1.0,,2,1950,8.0,15.0,38.0,40.0,2200.0,2500.0,49.0
779,FI,30169,720.0,2007.0,7,1.0,10.0,2,1989,10.0,18.0,38.0,41.0,2880.0,3500.0,57.0
780,FI,30230,,1964.0,3,1.0,,2,1944,5.0,13.0,40.0,40.0,,,66.0
781,FI,30300,15.0,1975.0,7,1.0,11.0,2,1956,8.0,15.0,39.0,39.0,1900.0,3000.0,53.0
782,FI,30358,240.0,1988.0,7,2.0,,1,1971,8.0,15.0,37.0,39.0,43000.0,45000.0,102.0
783,FI,30405,,1992.0,7,1.0,3.0,1,1958,5.0,11.0,38.0,38.0,2900.0,3300.0,48.0
784,FI,30416,180.0,2005.0,6,1.0,5.0,2,1987,5.0,13.0,24.0,24.0,1300.0,,51.0
785,FI,30560,45.0,1978.0,5,1.0,1.0,1,1947,5.0,12.0,,20.0,,,55.0
786,FI,30615,300.0,1999.0,8,1.0,6.0,1,1978,4.0,16.0,24.0,24.0,3200.0,,
787,FI,30707,,1956.0,8,1.0,5.0,1,1936,,,,,,,
788,FI,30719,600.0,1953.0,7,1.0,3.0,2,1936,10.0,18.0,38.0,,,,65.0
789,FI,30753,480.0,1995.0,8,1.0,1.0,2,1976,11.0,17.0,40.0,40.0,5700.0,,55.0
790,FI,30774,120.0,1983.0,7,1.0,4.0,1,1965,5.0,11.0,40.0,40.0,,,49.0
791,FI,30872,180.0,2012.0,6,1.0,12.0,2,1992,6.0,14.0,38.0,40.0,2350.0,2500.0,55.0
792,FI,30911,,1961.0,6,1.0,11.0,2,1940,8.0,12.0,38.0,38.0,,,64.0
793,FI,30996,60.0,1995.0,7,1.0,,2,1968,12.0,17.0,14.0,14.0,1500.0,2000.0,
794,FI,31016,360.0,1996.0,8,1.0,,1,1981,7.0,12.0,65.0,65.0,,,49.0
795,FI,31039,240.0,1991.0,8,1.0,,2,1972,11.0,17.0,10.0,10.0,,,51.0
796,FI,31050,60.0,1985.0,8,1.0,3.0,1,1964,7.0,14.0,40.0,45.0,5000.0,,74.0
797,FI,31083,240.0,2004.0,7,1.0,1.0,2,1978,5.0,18.0,40.0,40.0,,,57.0
798,FI,31181,60.0,1992.0,8,3.0,,2,1974,12.0,17.0,40.0,40.0,5000.0,,68.0
799,FI,31244,90.0,1988.0,8,1.0,10.0,1,1972,8.0,14.0,50.0,50.0,,,67.0
800,FI,31253,,1976.0,8,1.0,11.0,2,1946,2.0,8.0,38.0,38.0,,,58.0
801,FI,31270,360.0,0.0,7,1.0,12.0,1,1996,4.0,14.0,12.0,12.0,800.0,,63.0
802,FI,31285,90.0,2004.0,7,1.0,11.0,2,1984,9.0,17.0,40.0,40.0,,,54.0
803,FI,31320,180.0,1975.0,4,2.0,,2,1958,7.0,3.0,,16.0,,,106.0
804,FI,31324,,1966.0,8,1.0,3.0,1,1933,1.0,4.0,10.0,10.0,,,94.0
805,FI,31342,120.0,2002.0,8,1.0,12.0,1,1983,5.0,14.0,39.0,39.0,2800.0,,38.0
806,FI,31354,60.0,1966.0,7,1.0,11.0,2,1943,6.0,11.0,38.0,38.0,,,
807,FI,31372,240.0,2011.0,6,1.0,3.0,2,1992,10.0,15.0,25.0,30.0,,,47.0
808,FI,31403,120.0,1965.0,6,1.0,2.0,1,1948,5.0,10.0,40.0,50.0,,,58.0
809,FI,31449,60.0,1970.0,9,1.0,11.0,2,1952,5.0,12.0,38.0,38.0,,,61.0
810,FI,31453,240.0,2015.0,5,3.0,,2,1985,4.0,12.0,40.0,40.0,,,81.0
811,FI,31462,30.0,1995.0,10,1.0,10.0,2,1976,11.0,18.0,38.0,38.0,3230.0,,70.0
812,FI,31479,120.0,1972.0,3,1.0,,1,1958,5.0,12.0,40.0,40.0,,,55.0
813,FI,31581,120.0,1970.0,4,2.0,,2,1956,1.0,15.0,10.0,10.0,40000.0,,52.0
814,FI,31614,600.0,1991.0,8,1.0,1.0,1,1972,12.0,18.0,55.0,55.0,7500.0,,91.0
815,FI,31648,120.0,2013.0,5,3.0,,2,1997,5.0,12.0,40.0,40.0,,,44.0
816,FI,31777,300.0,1993.0,2,1.0,11.0,2,1971,4.0,13.0,,15.0,,,53.0
817,FI,31846,45.0,1969.0,10,1.0,11.0,1,1951,4.0,14.0,30.0,30.0,,,52.0
818,FI,31870,300.0,1984.0,8,1.0,1.0,1,1965,4.0,19.0,,55.0,3100.0,4500.0,50.0
819,FI,31881,120.0,2007.0,6,2.0,,1,1992,3.0,14.0,60.0,60.0,,,46.0
820,FI,31909,300.0,2007.0,5,1.0,11.0,2,1988,4.0,23.0,40.0,40.0,2720.0,,46.0
821,FI,31917,,1975.0,5,1.0,5.0,2,1947,3.0,11.0,40.0,40.0,,,55.0
822,FI,31943,60.0,1981.0,8,1.0,4.0,2,1961,5.0,12.0,40.0,40.0,,,50.0
823,FI,31973,,1972.0,8,1.0,,2,1952,9.0,15.0,38.0,38.0,,,120.0
824,FI,31991,180.0,1971.0,8,1.0,10.0,1,1950,5.0,9.0,40.0,50.0,,,72.0
825,FI,32079,75.0,1973.0,7,1.0,1.0,2,1949,8.0,15.0,37.0,40.0,,,46.0
826,FI,32093,,1963.0,8,1.0,11.0,2,1947,2.0,7.0,38.0,38.0,,,56.0
827,FI,32147,30.0,1984.0,7,1.0,1.0,1,1965,5.0,10.0,50.0,50.0,90000.0,150000.0,63.0
828,FI,32185,420.0,2018.0,9,3.0,,1,2002,2.0,9.0,38.0,38.0,,,50.0
829,FI,32192,120.0,0.0,9,3.0,,2,2002,3.0,9.0,,,,,41.0
830,FI,32246,270.0,0.0,9,3.0,,1,2001,3.0,10.0,10.0,10.0,,,74.0
831,FI,32266,210.0,2010.0,3,1.0,3.0,1,1990,9.0,17.0,38.0,45.0,2800.0,3000.0,46.0
832,FI,32280,60.0,1989.0,7,2.0,,1,1971,9.0,17.0,40.0,45.0,3000.0,,50.0
833,FI,32351,60.0,1998.0,6,1.0,,2,1982,5.0,6.0,3.0,3.0,,,106.0
834,FI,32394,,1956.0,8,1.0,,2,1940,7.0,13.0,40.0,40.0,,,135.0
835,FI,32446,600.0,1977.0,8,1.0,,2,1958,4.0,11.0,36.0,36.0,2800.0,3200.0,51.0
836,FI,32484,300.0,0.0,7,3.0,,2,1998,4.0,12.0,20.0,20.0,,,37.0
837,FI,32489,180.0,1994.0,9,1.0,10.0,2,1978,8.0,16.0,24.0,24.0,1900.0,2200.0,
838,FI,32625,60.0,1996.0,8,1.0,10.0,2,1977,9.0,17.0,10.0,10.0,20000.0,,84.0
839,FI,32645,180.0,1986.0,8,2.0,,1,1968,7.0,12.0,50.0,50.0,2500.0,3000.0,43.0
840,FI,32672,360.0,0.0,7,3.0,,1,2001,3.0,10.0,20.0,20.0,,,43.0
841,FI,32782,60.0,1982.0,9,1.0,10.0,2,1963,9.0,20.0,38.0,40.0,2600.0,3200.0,74.0
842,FI,32784,60.0,1962.0,9,1.0,3.0,2,1938,3.0,10.0,56.0,56.0,,,63.0
843,FI,32829,,1969.0,8,1.0,,1,1949,5.0,10.0,40.0,40.0,,,50.0
844,FI,32832,240.0,1968.0,8,1.0,12.0,2,1950,10.0,18.0,38.0,38.0,,,64.0
845,FI,32879,210.0,1977.0,8,1.0,3.0,2,1956,6.0,17.0,38.0,38.0,2800.0,4000.0,55.0
846,FI,32886,240.0,2016.0,5,3.0,,1,1997,10.0,15.0,38.0,38.0,,,44.0
847,FI,33021,180.0,1997.0,7,1.0,,1,1976,12.0,20.0,40.0,40.0,5000.0,,73.0
848,FI,33055,120.0,1966.0,5,1.0,1.0,2,1941,8.0,15.0,37.0,37.0,,,67.0
849,FI,33072,,1956.0,9,1.0,3.0,2,1938,2.0,13.0,,,,,98.0
850,FI,33127,120.0,2008.0,3,2.0,,1,1992,5.0,12.0,40.0,40.0,2500.0,2900.0,42.0
851,FI,33161,300.0,2014.0,7,1.0,10.0,2,1993,4.0,17.0,8.0,20.0,600.0,,45.0
852,FI,33216,,1955.0,5,1.0,1.0,2,1928,3.0,12.0,35.0,35.0,,,99.0
853,FI,33247,,1984.0,5,1.0,,2,1961,8.0,14.0,37.0,37.0,,,52.0
854,FI,33283,180.0,1978.0,8,1.0,16.0,2,1961,8.0,16.0,38.0,40.0,,,56.0
855,FI,33376,330.0,2012.0,8,2.0,,2,1987,12.0,24.0,8.0,8.0,,,121.0
856,FI,33377,250.0,1988.0,3,1.0,11.0,2,1968,14.0,23.0,38.0,38.0,4995.0,5800.0,57.0
857,FI,33408,50.0,2000.0,8,1.0,,1,1980,5.0,13.0,40.0,40.0,2000.0,2800.0,75.0
858,FI,33457,60.0,1967.0,7,1.0,5.0,2,1948,12.0,15.0,18.0,35.0,,,58.0
859,FI,33479,90.0,2005.0,7,1.0,12.0,1,1986,9.0,16.0,60.0,65.0,30000.0,,66.0
860,FI,33497,360.0,0.0,9,3.0,,2,2001,3.0,11.0,25.0,25.0,1000.0,,
861,FI,33547,540.0,1990.0,7,1.0,3.0,2,1971,12.0,20.0,41.0,43.0,4380.0,,57.0
862,FI,33580,600.0,2002.0,9,1.0,12.0,1,1984,12.0,18.0,40.0,47.0,2550.0,2900.0,58.0
863,FI,33625,120.0,1985.0,6,1.0,,1,1964,8.0,16.0,37.0,37.0,3200.0,,52.0
864,FI,33634,180.0,2014.0,7,1.0,10.0,2,1995,4.0,16.0,5.0,5.0,,,
865,FI,33713,240.0,2018.0,5,3.0,,1,1999,5.0,12.0,40.0,42.0,2100.0,,41.0
866,FI,33742,,1974.0,8,1.0,4.0,1,1955,2.0,6.0,50.0,50.0,,,
867,FI,33767,300.0,1991.0,6,1.0,4.0,1,1966,5.0,11.0,40.0,40.0,65000.0,,48.0
868,FI,33785,,1954.0,10,2.0,,2,1936,2.0,9.0,,,,,122.0
869,FI,33869,240.0,0.0,3,3.0,,1,2001,2.0,11.0,,,,,38.0
870,FI,33875,45.0,1988.0,6,1.0,2.0,1,1970,8.0,14.0,,80.0,50000.0,,38.0
871,FI,33916,150.0,1984.0,9,1.0,10.0,1,1964,5.0,14.0,38.0,38.0,3400.0,,49.0
872,FI,33936,69.0,1952.0,9,1.0,12.0,2,1930,4.0,13.0,40.0,40.0,,,60.0
873,FI,33961,240.0,1999.0,9,1.0,,1,1982,9.0,17.0,,10.0,,,48.0
874,FI,33989,,1955.0,5,1.0,12.0,1,1937,1.0,7.0,40.0,42.0,,,75.0
875,FI,33996,120.0,1949.0,7,2.0,,1,1945,5.0,10.0,40.0,40.0,,,95.0
876,FI,34052,90.0,1964.0,8,1.0,,1,1946,14.0,16.0,38.0,38.0,,,73.0
877,FI,34063,25.0,1998.0,6,1.0,12.0,2,1979,9.0,20.0,32.0,32.0,1509.0,1600.0,86.0
878,FI,34120,,1968.0,7,1.0,12.0,1,1949,5.0,10.0,38.0,38.0,,,57.0
879,FI,34235,120.0,2001.0,7,1.0,10.0,2,1981,11.0,25.0,24.0,40.0,2800.0,4000.0,62.0
880,FI,34242,,0.0,4,1.0,11.0,2,1929,2.0,8.0,40.0,40.0,,,47.0
881,FI,34253,120.0,1974.0,8,1.0,,2,1954,8.0,16.0,38.0,38.0,,,
882,FI,34257,,1987.0,7,1.0,3.0,1,1962,5.0,13.0,38.0,38.0,,,98.0
883,FI,34298,480.0,1992.0,9,1.0,1.0,2,1973,13.0,20.0,40.0,40.0,150000.0,80000.0,44.0
884,FI,34341,240.0,1972.0,9,1.0,10.0,2,1951,10.0,15.0,38.0,38.0,,,45.0
885,FI,34359,240.0,1966.0,4,1.0,3.0,1,1947,10.0,31.0,37.0,40.0,,,47.0
886,FI,34381,120.0,1975.0,8,1.0,,2,1955,8.0,15.0,38.0,38.0,2600.0,3000.0,
887,FI,34386,,1965.0,5,1.0,1.0,2,1946,2.0,7.0,40.0,40.0,,,65.0
888,FI,34427,,1960.0,9,1.0,11.0,1,1939,2.0,7.0,40.0,40.0,,,77.0
889,FI,34451,120.0,1996.0,7,1.0,3.0,1,1978,9.0,16.0,38.0,43.0,4400.0,,45.0
890,FI,34476,120.0,1966.0,6,1.0,3.0,1,1949,3.0,10.0,40.0,40.0,,,73.0
891,FI,34533,60.0,1995.0,8,1.0,11.0,1,1972,5.0,15.0,40.0,44.0,3000.0,,65.0
892,FI,34544,180.0,1998.0,5,1.0,4.0,2,1982,6.0,18.0,84.0,84.0,,20000.0,50.0
893,FI,34565,300.0,1986.0,7,1.0,1.0,2,1967,12.0,19.0,37.0,37.0,4700.0,,61.0
894,FI,34570,60.0,2005.0,8,2.0,,2,1989,5.0,15.0,39.0,39.0,2400.0,2500.0,50.0
895,FI,34572,,1976.0,7,2.0,,2,1960,2.0,9.0,38.0,38.0,2400.0,2800.0,67.0
896,FI,34610,,1955.0,5,1.0,,1,1937,2.0,7.0,,40.0,,,84.0
897,FI,34613,540.0,2014.0,7,1.0,1.0,1,1993,10.0,18.0,36.0,38.0,1189.0,2500.0,59.0
898,FI,34653,135.0,1981.0,8,1.0,16.0,1,1960,12.0,18.0,40.0,45.0,0.0,,61.0
899,FI,34660,60.0,1962.0,3,1.0,1.0,2,1943,2.0,9.0,35.0,35.0,,,57.0
900,FI,34671,600.0,2012.0,3,1.0,1.0,1,1993,12.0,18.0,84.0,84.0,,,72.0
901,FI,34714,300.0,1983.0,6,1.0,5.0,1,1964,12.0,17.0,40.0,40.0,3700.0,,50.0
902,FI,34745,900.0,1995.0,6,1.0,11.0,2,1972,5.0,14.0,,8.0,,,56.0
903,FI,34764,360.0,1993.0,8,1.0,7.0,1,1973,5.0,13.0,30.0,30.0,,,49.0
904,FI,34829,210.0,2015.0,7,1.0,1.0,1,1995,5.0,12.0,38.0,38.0,3300.0,,46.0
905,FI,34857,360.0,0.0,7,3.0,,2,1999,4.0,12.0,20.0,30.0,1600.0,1900.0,62.0
906,FI,34937,,1968.0,9,1.0,3.0,2,1945,2.0,8.0,,,,,72.0
907,FI,34945,,1963.0,9,1.0,11.0,2,1939,5.0,10.0,38.0,38.0,,,77.0
908,FI,34964,180.0,2002.0,8,1.0,4.0,1,1984,3.0,11.0,40.0,60.0,3700.0,,51.0
909,FI,35022,60.0,2007.0,7,1.0,3.0,1,1987,5.0,12.0,40.0,40.0,39000.0,,36.0
910,FI,35032,180.0,1984.0,8,1.0,1.0,2,1966,10.0,20.0,39.0,40.0,2998.0,3800.0,52.0
911,FI,35053,45.0,1968.0,8,1.0,1.0,2,1950,2.0,8.0,40.0,40.0,,,69.0
912,FI,35088,120.0,1969.0,8,1.0,4.0,1,1950,2.0,8.0,40.0,40.0,,,70.0
913,FI,35224,480.0,0.0,5,3.0,,2,2001,3.0,11.0,3.0,3.0,,,31.0
914,FI,35244,120.0,0.0,9,3.0,,2,2003,2.0,8.0,,,,,49.0
915,FI,35315,120.0,1984.0,10,1.0,1.0,2,1965,14.0,24.0,40.0,44.0,4990.0,,85.0
916,FI,35382,210.0,1984.0,8,1.0,3.0,2,1965,8.0,15.0,60.0,60.0,,,46.0
917,FI,35407,240.0,2005.0,8,1.0,10.0,2,1988,12.0,18.0,38.0,38.0,,,42.0
918,FI,35496,90.0,1978.0,9,1.0,3.0,2,1958,12.0,18.0,38.0,40.0,4600.0,,49.0
919,FI,35591,30.0,1966.0,5,1.0,5.0,2,1952,5.0,10.0,,,,,53.0
920,FI,35611,30.0,1980.0,7,1.0,4.0,1,1956,8.0,13.0,40.0,40.0,3900.0,,39.0
921,FI,35654,180.0,2016.0,7,1.0,10.0,1,1996,4.0,14.0,15.0,15.0,1000.0,,82.0
922,FI,35681,60.0,1997.0,7,1.0,,2,1977,9.0,17.0,39.0,39.0,2300.0,,108.0
923,FI,35740,360.0,2009.0,7,1.0,1.0,1,1990,12.0,19.0,38.0,41.0,3250.0,,53.0
924,FI,35762,240.0,1998.0,8,3.0,,2,1987,5.0,15.0,15.0,15.0,,,87.0
925,FI,35831,90.0,1986.0,10,1.0,10.0,2,1965,10.0,17.0,39.0,39.0,3300.0,3800.0,60.0
926,FI,35908,180.0,0.0,9,3.0,,1,2003,2.0,8.0,20.0,20.0,,,35.0
927,FI,35973,2.0,1965.0,8,1.0,2.0,2,1944,5.0,13.0,40.0,50.0,,,61.0
928,FI,35980,720.0,0.0,8,2.0,,1,1994,5.0,14.0,40.0,,2000.0,,44.0
929,FI,36085,,1968.0,8,1.0,11.0,1,1941,5.0,8.0,40.0,,,,52.0
930,FI,36100,240.0,1999.0,8,1.0,10.0,2,1980,12.0,20.0,38.0,39.0,3900.0,,40.0
931,FI,36139,,1976.0,7,1.0,,2,1960,5.0,11.0,38.0,38.0,2000.0,2800.0,55.0
932,FI,36239,180.0,1968.0,5,2.0,,1,1946,5.0,8.0,40.0,40.0,,,50.0
933,FI,36292,30.0,1974.0,6,1.0,,1,1956,7.0,13.0,40.0,50.0,35000.0,75000.0,78.0
934,FI,36294,120.0,2007.0,8,1.0,12.0,2,1988,8.0,12.0,38.0,39.0,,,79.0
935,FI,36323,180.0,1989.0,10,1.0,1.0,2,1969,14.0,21.0,,,4500.0,,48.0
936,FI,36455,240.0,1975.0,9,1.0,,2,1955,12.0,21.0,37.0,37.0,2625.0,,53.0
937,FI,36534,,1980.0,7,1.0,1.0,2,1962,5.0,14.0,28.0,28.0,,4000.0,46.0
938,FI,36573,,0.0,7,2.0,,2,1969,5.0,8.0,80.0,80.0,1200.0,2000.0,37.0
939,FI,36596,90.0,1998.0,5,1.0,1.0,1,1978,9.0,16.0,40.0,50.0,76000.0,,43.0
940,FI,36643,,1972.0,8,1.0,11.0,2,1952,10.0,20.0,,40.0,,,92.0
941,FI,36732,180.0,2017.0,4,3.0,,2,1998,5.0,13.0,7.0,7.0,,,75.0
942,FI,36760,60.0,1982.0,7,1.0,1.0,2,1958,8.0,14.0,38.0,40.0,3600.0,,48.0
943,FI,36833,,1955.0,5,1.0,3.0,1,1934,5.0,6.0,40.0,40.0,,,85.0
944,FI,36837,120.0,1967.0,7,1.0,11.0,2,1950,5.0,10.0,40.0,45.0,,,59.0
945,FI,36889,60.0,2012.0,3,1.0,1.0,1,1996,5.0,12.0,38.0,50.0,4000.0,,51.0
946,FI,36912,120.0,2005.0,8,2.0,,2,1989,5.0,14.0,45.0,45.0,,,47.0
947,FI,36929,,1975.0,9,1.0,11.0,1,1947,2.0,8.0,40.0,40.0,,,49.0
948,FI,36950,,1958.0,10,1.0,11.0,1,1939,2.0,8.0,50.0,50.0,,,48.0
949,FI,36969,480.0,2011.0,8,1.0,7.0,1,1991,12.0,17.0,38.0,38.0,,,38.0
950,FI,37045,60.0,1985.0,8,1.0,11.0,1,1959,5.0,16.0,38.0,41.0,3300.0,3600.0,
951,FI,37084,120.0,1974.0,7,1.0,1.0,1,1952,12.0,19.0,38.0,38.0,,,37.0
952,FI,37105,60.0,1998.0,3,1.0,4.0,1,1976,5.0,12.0,40.0,40.0,,,40.0
953,FI,37144,90.0,1977.0,9,1.0,2.0,2,1958,12.0,17.0,27.0,35.0,4500.0,,49.0
954,FI,37160,180.0,1986.0,7,1.0,1.0,1,1976,11.0,15.0,40.0,40.0,3950.0,5000.0,47.0
955,FI,37195,60.0,1989.0,8,1.0,10.0,2,1971,5.0,12.0,30.0,30.0,1600.0,2000.0,70.0
956,FI,37336,540.0,1993.0,8,2.0,,1,1975,5.0,12.0,38.0,40.0,3000.0,,82.0
957,FI,37408,360.0,2008.0,6,2.0,,2,1982,5.0,13.0,40.0,40.0,,,97.0
958,FI,37434,300.0,2016.0,6,3.0,,1,2000,3.0,11.0,45.0,45.0,,,43.0
959,FI,37467,360.0,2001.0,4,1.0,11.0,2,1982,9.0,15.0,37.0,38.0,3600.0,,42.0
960,FI,37503,120.0,0.0,7,3.0,,1,2003,2.0,8.0,30.0,30.0,0.0,,41.0
961,FI,37599,10.0,1963.0,7,1.0,11.0,1,1950,5.0,15.0,38.0,38.0,,,42.0
962,FI,37629,120.0,1976.0,5,2.0,,2,1954,3.0,11.0,12.0,12.0,0.0,,55.0
963,FI,37666,30.0,1981.0,8,1.0,3.0,1,1961,8.0,15.0,38.0,38.0,,,94.0
964,FI,37717,300.0,0.0,6,3.0,,1,1998,4.0,13.0,38.0,40.0,,,37.0
965,FI,37751,420.0,2003.0,2,1.0,4.0,1,1986,3.0,,,,,,49.0
966,FI,37784,90.0,1975.0,6,1.0,3.0,2,1955,8.0,14.0,20.0,20.0,,,60.0
967,FI,37790,60.0,1974.0,9,1.0,1.0,2,1954,9.0,22.0,38.0,38.0,3600.0,,52.0
968,FI,37859,480.0,2007.0,7,1.0,2.0,2,1988,12.0,20.0,38.0,38.0,3360.0,,35.0
969,FI,37871,180.0,2016.0,7,1.0,1.0,2,1994,10.0,17.0,10.0,10.0,650.0,,45.0
970,FI,37882,120.0,1980.0,8,1.0,10.0,1,1961,8.0,18.0,38.0,38.0,4000.0,4500.0,48.0
971,FI,37906,180.0,0.0,3,3.0,,1,2002,3.0,10.0,20.0,20.0,,,44.0
972,FI,37921,120.0,0.0,9,3.0,,2,2003,2.0,9.0,,,,,47.0
973,FI,37925,240.0,1997.0,7,1.0,11.0,1,1977,9.0,18.0,38.0,48.0,35000.0,,56.0
974,FI,37936,,1958.0,8,1.0,3.0,2,1937,5.0,9.0,,,,,89.0
975,FI,37939,270.0,2018.0,8,3.0,,2,1999,3.0,13.0,40.0,40.0,,,50.0
976,FI,37969,180.0,2015.0,6,2.0,,2,1996,10.0,15.0,39.0,40.0,2600.0,3500.0,45.0
977,FI,37988,180.0,1973.0,4,2.0,,2,1954,2.0,8.0,38.0,38.0,,,
978,FI,38040,300.0,2008.0,8,1.0,10.0,1,1992,5555.0,18.0,40.0,50.0,2000.0,,35.0
979,FI,38059,600.0,1998.0,7,1.0,1.0,1,1980,5.0,14.0,40.0,40.0,48000.0,,37.0
980,FI,38139,30.0,1972.0,8,1.0,10.0,2,1948,10.0,16.0,40.0,40.0,,,62.0
981,FI,38146,,1982.0,10,1.0,,1,1959,5.0,10.0,40.0,40.0,,,54.0
982,FI,38199,,1963.0,7,1.0,,2,1941,5.0,14.0,40.0,40.0,,,45.0
983,FI,38233,150.0,2007.0,2,1.0,11.0,2,1991,5.0,13.0,39.0,39.0,,,72.0
984,FI,38238,300.0,2005.0,7,2.0,,1,1985,5.0,12.0,38.0,38.0,3430.0,,49.0
985,FI,38331,240.0,1981.0,9,1.0,10.0,1,1961,6.0,13.0,40.0,43.0,2900.0,,
986,FI,38347,120.0,1991.0,7,1.0,11.0,1,1969,8.0,14.0,40.0,50.0,48000.0,65000.0,77.0
987,FI,38360,,1961.0,5,1.0,1.0,2,1941,5.0,11.0,38.0,40.0,,,54.0
988,FI,38367,120.0,1994.0,8,1.0,11.0,2,1977,10.0,17.0,38.0,38.0,3100.0,,46.0
989,FI,38456,60.0,1980.0,9,1.0,10.0,1,1959,5.0,12.0,38.0,38.0,4000.0,,58.0
990,FI,38535,90.0,1970.0,8,1.0,11.0,2,1953,8.0,15.0,38.0,38.0,,,38.0
991,FI,38585,420.0,1988.0,6,1.0,11.0,2,1968,9.0,16.0,35.0,50.0,6000.0,,69.0
